Surname,"Name","Email address",State,"Started on",Completed,"Time taken",Grade,"Q. 1 /0.24","Q. 2 /0.24","Q. 3 /0.24","Q. 4 /0.24","Q. 5 /0.24","Q. 6 /0.24","Q. 7 /0.24","Q. 8 /0.24","Q. 9 /0.24","Q. 10 /0.24","Q. 11 /0.24","Q. 12 /0.24","Q. 13 /0.24","Q. 14 /0.24","Q. 15 /0.24","Q. 16 /0.24","Q. 17 /0.24","Q. 18 /0.24","Q. 19 /0.24","Q. 20 /0.24","Q. 21 /0.24","Q. 22 /0.24","Q. 23 /0.24","Q. 24 /0.24","Q. 25 /0.24","Q. 26 /0.24","Q. 27 /0.24","Q. 28 /0.24","Q. 29 /0.24","Q. 30 /0.24","Q. 31 /0.24","Q. 32 /0.24","Q. 33 /0.24","Q. 34 /0.24","Q. 35 /0.24","Q. 36 /0.24","Q. 37 /0.24","Q. 38 /0.24","Q. 39 /0.24","Q. 40 /0.24","Q. 41 /0.24","Q. 42 /0.24"
Blumentritt,Amy,ab12279@example.com,Finished,"6 April 2022  11:41 AM","6 April 2022  12:07 PM","26 mins 13 secs",5.95,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.00,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.24
Burt,Nico,nb7790@example.com,Finished,"6 April 2022  11:41 AM","6 April 2022  12:09 PM","27 mins 45 secs",3.57,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.00,0.24,0.00,0.24,0.24,0.24,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.00
"Al Harthy",Aya,aa8648@example.com,Finished,"6 April 2022  11:41 AM","6 April 2022  12:10 PM","29 mins 4 secs",8.33,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24
"Al Aali",Ebrahim,ea7745@example.com,Finished,"6 April 2022  11:41 AM","6 April 2022  12:08 PM","26 mins 53 secs",4.29,0.24,0.00,0.00,0.00,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.24,0.00,0.00,-,0.00,0.00,0.24,0.00,-,-,0.24
Barbir,Bashir,bb8686@example.com,Finished,"6 April 2022  11:41 AM","6 April 2022  12:24 PM","42 mins 51 secs",8.33,0.24,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.24
Zelaikh,Ahmed,az7768@example.com,Finished,"6 April 2022  11:41 AM","6 April 2022  11:56 AM","14 mins 13 secs",2.14,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.24,0.00,0.24,0.00,0.24,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.24,0.00,0.24,0.00,0.00,-
"Peters van der Heijden",Sacha,sp8568@example.com,Finished,"6 April 2022  11:41 AM","6 April 2022  12:06 PM","24 mins 30 secs",9.05,0.24,0.00,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Alnooh,Ahmed,aa7716@example.com,Finished,"6 April 2022  11:41 AM","6 April 2022  11:55 AM","13 mins 23 secs",9.05,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24
Touhami,Iyad,it7783@example.com,Finished,"6 April 2022  11:42 AM","6 April 2022  12:21 PM","39 mins 21 secs",7.86,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.00,0.00,0.00,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Abdulamer,Nemer,na10828@example.com,Finished,"6 April 2022  11:42 AM","6 April 2022  12:11 PM","29 mins 20 secs",4.29,0.00,0.00,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.24,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.24,0.00,0.00,0.00,0.24,0.00,0.24,0.00,0.24,0.00,0.00,0.00,0.24
Malik,Muhammad-Hasan,mm7737@example.com,Finished,"7 April 2022  10:18 AM","7 April 2022  10:53 AM","34 mins 38 secs",3.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.24,0.00,0.24,0.24,0.00,0.24
Chaudhry,Mohammed,mc8874@example.com,Finished,"7 April 2022  10:18 AM","7 April 2022  11:00 AM","42 mins 14 secs",8.33,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Bhowmick,Tanishi,tb12452@example.com,Finished,"7 April 2022  10:18 AM","7 April 2022  10:42 AM","23 mins 52 secs",9.05,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24
Hammad,Mahd,mh7735@example.com,Finished,"7 April 2022  10:18 AM","7 April 2022  10:44 AM","26 mins 25 secs",5.48,0.00,0.24,0.00,0.00,0.00,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.00,0.00,0.24,0.00,0.00,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.00,0.00,0.00,0.24,0.24
Qarooni,Danial,dq8000@example.com,Finished,"7 April 2022  10:18 AM","7 April 2022  10:32 AM","14 mins 18 secs",9.52,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
"Du Preez",Marcus,md10295@example.com,Finished,"7 April 2022  10:18 AM","7 April 2022  10:43 AM","24 mins 51 secs",8.10,0.00,0.00,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Liakou,Georgia,gl12439@example.com,Finished,"7 April 2022  10:18 AM","7 April 2022  10:39 AM","20 mins 41 secs",8.81,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Matta,Jolie,jm12506@example.com,Finished,"7 April 2022  10:18 AM","7 April 2022  10:44 AM","25 mins 54 secs",7.14,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.24
Vaidyanathan,Nikita,nv7784@example.com,Finished,"7 April 2022  10:18 AM","7 April 2022  10:55 AM","36 mins 48 secs",8.33,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.00,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.24
Petticrew,Owen,po11911@example.com,Finished,"7 April 2022  10:18 AM","7 April 2022  10:44 AM","25 mins 51 secs",5.95,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.00,0.00,0.24,0.24,0.00,0.24,0.00,0.00,0.00,0.00,0.24,0.00,0.00,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.00,0.24,0.24
Phin,Rylee,rp12233@example.com,Finished,"7 April 2022  10:18 AM","7 April 2022  10:49 AM","31 mins",7.38,0.24,0.00,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.00
Goodson-Wickes,Isabella,ig8382@example.com,Finished,"7 April 2022  10:18 AM","7 April 2022  10:56 AM","38 mins 13 secs",7.62,0.00,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.24
Korkmaz,Nazli,nk11664@example.com,Finished,"7 April 2022  10:18 AM","7 April 2022  10:50 AM","32 mins 11 secs",9.52,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Alamuddin,Mohamad,ma11187@example.com,Finished,"7 April 2022  10:18 AM","7 April 2022  10:58 AM","39 mins 34 secs",8.81,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.00,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24
"Al Aali",Saleh,sa7744@example.com,Finished,"7 April 2022  10:18 AM","7 April 2022  10:51 AM","33 mins 24 secs",10.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Cole,Emily,ec10026@example.com,Finished,"7 April 2022  10:18 AM","7 April 2022  10:44 AM","26 mins 15 secs",9.52,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24
Arun,Krishna,ak12500@example.com,Finished,"7 April 2022  10:18 AM","7 April 2022  10:53 AM","35 mins 25 secs",6.43,0.00,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.00,0.00,0.24,0.00,0.24,0.24,0.00,0.00,0.00,0.00,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.24
Hevesy,Emma,eh10012@example.com,Finished,"7 April 2022  10:18 AM","7 April 2022  10:56 AM","38 mins 4 secs",7.38,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.00,0.24,0.24,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24
Manning,Annelies,am10335@example.com,Finished,"7 April 2022  10:18 AM","7 April 2022  10:58 AM","40 mins 13 secs",8.33,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24
Boels,Alexandre,ab7993@example.com,Finished,"7 April 2022  10:18 AM","7 April 2022  10:58 AM","39 mins 40 secs",6.19,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.00,0.24,0.00,0.00,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.00,0.00,0.24,0.24,0.00,0.00,0.00
Faraj,Serene,sf7827@example.com,Finished,"7 April 2022  10:18 AM","7 April 2022  10:48 AM","30 mins 10 secs",4.52,0.00,0.24,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.00,0.00,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.24,0.00,0.00,0.24,0.24,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.24,0.24
Hasan,Ziyad,zh7720@example.com,Finished,"7 April 2022  10:18 AM","7 April 2022  10:58 AM","39 mins 38 secs",6.90,0.00,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.00,0.00,0.24
Nagy,Alessia,an7746@example.com,Finished,"25 April 2022  11:40 AM","25 April 2022  12:14 PM","34 mins 2 secs",9.52,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
"Sierra Gallego",Agatha,as11799@example.com,Finished,"25 April 2022  11:40 AM","25 April 2022  12:09 PM","28 mins 14 secs",6.43,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.00,0.00,0.00,0.00,0.24,0.00,0.00,0.00,0.00,0.24,0.00,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.24
Weeks-Barnitt,Adam,aw8810@example.com,Finished,"25 April 2022  11:40 AM","25 April 2022  12:32 PM","51 mins 30 secs",9.52,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Sharaf,Maryam,ms12440@example.com,Finished,"25 April 2022  11:40 AM","25 April 2022  12:14 PM","33 mins 15 secs",8.81,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.00,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24
McElroy,Lara,lm8229@example.com,Finished,"25 April 2022  11:40 AM","25 April 2022  12:29 PM","48 mins 32 secs",7.86,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.00,0.24
Cornee,Ileana,ic9337@example.com,Finished,"25 April 2022  11:40 AM","25 April 2022  12:14 PM","34 mins 8 secs",9.29,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Economou,Leila,le100023@example.com,Finished,"25 April 2022  11:40 AM","25 April 2022  12:14 PM","34 mins 4 secs",8.33,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.00
Hassan,Asser,ah7771@example.com,Finished,"25 April 2022  11:40 AM","25 April 2022  12:11 PM","30 mins 27 secs",5.71,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.00,0.00,0.00,0.00,0.24,0.00,0.00,0.24,0.24,0.00,0.00,0.24,0.00,0.00,0.00,0.24,0.24,0.24,0.00,0.00,0.00,0.00
Al-Dajani,Selma,sa7921@example.com,"In progress","25 April 2022  11:40 AM",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Soussan,Lila,ls11982@example.com,Finished,"25 April 2022  11:40 AM","25 April 2022  12:10 PM","29 mins 43 secs",9.05,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24
Ghareeb,Laya,lg7727@example.com,Finished,"25 April 2022  11:40 AM","25 April 2022  12:35 PM","54 mins 59 secs",8.10,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.00,0.00,0.24
Kyriakidis,Grigorios,gk12441@example.com,"In progress","25 April 2022  11:40 AM",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Isa,Yara,yi11104@example.com,"In progress","25 April 2022  11:40 AM",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Robson,Jennah,jr8379@example.com,Finished,"25 April 2022  11:41 AM","25 April 2022  12:14 PM","33 mins 6 secs",8.81,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.00,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24
Farrell,Rian,rf10719@example.com,Finished,"25 April 2022  11:41 AM","25 April 2022  12:32 PM","51 mins 34 secs",6.19,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.00,0.24,0.00,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.24,0.00,0.00,0.24,0.24,0.00,0.24,0.24,0.00,0.24,0.00,0.00,0.00,0.24,0.24
Troger,Nick,nt12436@example.com,Finished,"25 April 2022  11:41 AM","25 April 2022  12:27 PM","46 mins 54 secs",8.81,0.24,0.00,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24
"Ochoa Mata",Tomas,to12515@example.com,Finished,"25 April 2022  11:41 AM","25 April 2022  12:29 PM","48 mins 42 secs",5.00,0.24,0.00,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.24,0.00,0.24,0.00,0.24,0.00,0.00,0.24,0.24,0.00,0.24,0.24,0.24
Baalbaki,Kinda,kb7724@example.com,Finished,"25 April 2022  11:41 AM","25 April 2022  11:58 AM","17 mins 7 secs",5.48,0.00,0.00,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.00,0.24,0.00,0.00,0.00,0.00,0.24,0.00,0.00,0.24,0.00,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.00,0.00,0.24
AlSarraf,Bander,ba11670@example.com,Finished,"25 April 2022  11:41 AM","25 April 2022  12:28 PM","46 mins 27 secs",8.33,0.00,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Khatib,Kareem,kk12451@example.com,Finished,"25 April 2022  11:42 AM","25 April 2022  12:20 PM","38 mins 27 secs",10.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
"Hidalgo Kalai","Ana Sofia",ah12235@example.com,Finished,"25 April 2022  11:42 AM","25 April 2022  12:32 PM","49 mins 34 secs",4.05,0.00,0.24,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.00,0.24,0.00,0.00,0.00,0.24,0.00,0.00,0.00,-,0.00,0.00,0.00,0.24,0.00,0.24,0.24,0.00,0.24,0.00,-,0.00,0.24,0.00,0.00,0.00,0.00
Leptokaridis,Ion,il100196@example.com,"In progress","25 April 2022  11:46 AM",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Overall average",,,,,,,7.63,0.14,0.15,0.17,0.15,0.21,0.22,0.23,0.24,0.22,0.19,0.23,0.19,0.19,0.20,0.23,0.16,0.22,0.17,0.17,0.19,0.18,0.15,0.16,0.16,0.13,0.15,0.15,0.08,0.21,0.15,0.20,0.21,0.19,0.17,0.18,0.21,0.21,0.22,0.16,0.14,0.16,0.19
